name,BB,exec
batch_norm,147,8.6
conv,41,2.27
softmax,39,1.55
instance_norm,27,1.27
pad,19,0.94
maxpool,15,0.86
matmul,12,0.52
gemm,12,0.55
transpose,11,0.81
nonzero,11,0.64
sum,10,0.43
add,9,0.55
cast,9,0.48
mul,9,0.5
relu,9,0.48
sub,9,0.46
div,9,0.5
pow,9,0.49
sqrt,9,0.55
clip,9,0.48
leaky_relu,9,0.56
tanh,9,0.53
exp,9,0.56
log,9,0.52
unsqueeze,7,0.43
concat,7,0.33
gather,5,0.27
slice,3,0.15
reshape,3,0.17
squeeze,3,0.14
shape,1,0.15
